ID,INSEE_COM,INSEE_DEP,INSEE_REG,CODE_EPCI,NOM_COM_M,POPULATION,Nb_Ventes,PrixMoyen_M2,LATITUDE,LONGITUDE
COMMUNE_0000000009755195,33052,33,75,200070092.0,BILLAUX,1212,20.0,1791.0,44.9517222,-0.237159
COMMUNE_0000000009757008,33251,33,75,200043974.0,LOUCHATS,726,7.0,1864.0,44.51253,-0.566898
COMMUNE_0000000009754795,33297,33,75,243301389.0,MOULIS EN MEDOC,1806,26.0,1911.0,45.0564852,-0.7736381
COMMUNE_0000000009756995,33072,33,75,200044394.0,BRANNENS,237,3.0,2041.0,44.51995,-0.15279
COMMUNE_0000000009755411,33293,33,75,243301249.0,MONTUSSAN,3136,32.0,2527.0,44.8816561,-0.4286074
COMMUNE_0000000009755182,33347,33,75,200070092.0,PUYNORMAND,302,4.0,1362.0,44.9822919,-0.0011434
COMMUNE_0000000009756098,33025,33,75,200069599.0,BAIGNEAUX,428,6.0,1885.0,44.7227623,-0.1929629
COMMUNE_0000000009757207,33484,33,75,200043974.0,SAINT SYMPHORIEN,1840,21.0,1890.0,49.3140652,0.4670513
COMMUNE_0000000009755895,33236,33,75,243301504.0,LEGE CAP FERRET,8303,229.0,7516.0,44.7951052,-1.1472098
COMMUNE_0000000009754583,33441,33,75,200023794.0,SAINT MARTIN LACAUSSADE,1086,20.0,1179.0,45.14657,-0.64283
COMMUNE_0000000009754997,33266,33,75,243301181.0,MARCENAIS,750,7.0,2184.0,45.0579671,-0.3369875
COMMUNE_0000000009757371,33271,33,75,200043982.0,MARIONS,199,2.0,1345.0,44.38296,-0.09114
COMMUNE_0000000009754571,33492,33,75,243301181.0,SAINT YZAN DE SOUDIAC,2369,42.0,1589.0,45.1399863,-0.4107248
COMMUNE_0000000009753936,33177,33,75,200069995.0,GAILLAN EN MEDOC,2295,30.0,1675.0,45.3234694,-0.9578932
COMMUNE_0000000009756527,33491,33,75,200044394.0,SAINT VIVIEN DE MONSEGUR,358,5.0,1596.0,44.6156094,0.1072804
COMMUNE_0000000009754987,33362,33,75,200070092.0,SABLONS,1358,15.0,1614.0,45.025378,-0.1941431
COMMUNE_0000000009756564,33452,33,75,200069581.0,SAINT MICHEL DE RIEUFRET,748,7.0,2213.0,44.6218048,-0.4326281
COMMUNE_0000000009753708,33540,33,75,200070720.0,VENDAYS MONTALIVET,2464,72.0,2403.0,45.3555884,-1.0593641
COMMUNE_0000000009754582,33047,33,75,200023794.0,BERSON,1791,16.0,1437.0,45.1076383,-0.5860166
COMMUNE_0000000009755618,33396,33,75,200035533.0,SAINT ETIENNE DE LISSE,249,1.0,1176.0,44.8807278,-0.0947304
COMMUNE_0000000009755849,33153,33,75,243301454.0,DOULEZON,261,8.0,1553.0,44.7916048,-0.0061934
COMMUNE_0000000009754994,33407,33,75,243301397.0,SAINT GENES DE FRONSAC,782,13.0,2047.0,45.0241112,-0.3563362
COMMUNE_0000000009755005,33018,33,75,243301223.0,VAL DE VIRVEE,3490,42.0,2013.0,45.02103765,-0.3930986350671708
COMMUNE_0000000009756770,33291,33,75,200044394.0,MONTAGOUDIN,184,1.0,1643.0,44.57737,0.00031
COMMUNE_0000000009756104,33534,33,75,243301439.0,TOURNE,812,13.0,2090.0,40.9126126,-74.4375014
COMMUNE_0000000009754368,33502,33,75,200023794.0,SAUGON,470,8.0,1674.0,45.1779899,-0.5026876
COMMUNE_0000000009756093,33258,33,75,200069599.0,LUGASSON,290,,,44.7518944,-0.1605464
COMMUNE_0000000009755853,33282,33,75,243301454.0,MERIGNAS,335,4.0,1783.0,44.7846628,-0.0870095
COMMUNE_0000000009755013,33012,33,75,243301447.0,ARSAC,3510,39.0,2805.0,44.9971866,-0.6883739
COMMUNE_0000000009755850,33488,33,75,243301454.0,SAINT VINCENT DE PERTIGNAS,383,3.0,1514.0,44.8013429,-0.1097
COMMUNE_0000000009754784,33486,33,75,243301223.0,SAINT TROJAN,341,4.0,1391.0,45.0873,-0.58044
COMMUNE_0000000009755891,33422,33,75,243301165.0,SAINT JEAN D ILLAC,8156,93.0,3570.0,44.8101856,-0.7815257
COMMUNE_0000000009755417,33075,33,75,243300316.0,BRUGES,18037,337.0,3524.0,51.2085526,3.226772
COMMUNE_0000000009756353,33501,33,75,243301264.0,SAUCATS,2956,33.0,2990.0,44.652798,-0.5958896
COMMUNE_0000000009755614,33485,33,75,200035533.0,SAINTE TERRE,1891,25.0,1812.0,44.8283252,-0.1134137
COMMUNE_0000000009756991,33204,33,75,200044394.0,HURE,514,8.0,1093.0,44.5453211,-0.0009543
COMMUNE_0000000009754990,33442,33,75,200070092.0,SAINT MARTIN DE LAYE,541,7.0,1704.0,45.03496,-0.22883
COMMUNE_0000000009756794,33323,33,75,200043974.0,PIAN SUR GARONNE,837,9.0,1770.0,44.5851938,-0.2123303
COMMUNE_0000000009754380,33203,33,75,200070720.0,HOURTIN,3487,150.0,2633.0,45.1861565,-1.0575334
COMMUNE_0000000009757730,33188,33,75,200043982.0,GISCOS,183,3.0,1596.0,44.27249,-0.17413
COMMUNE_0000000009755638,33535,33,75,243301355.0,TRESSES,4557,48.0,2996.0,44.8493612,-0.4635976
COMMUNE_0000000009755876,33086,33,75,243301215.0,CAMIAC ET SAINT DENIS,362,8.0,3044.0,44.7948064,-0.2753866
COMMUNE_0000000009755003,33321,33,75,243301223.0,PEUJARD,2185,25.0,2204.0,45.04606,-0.43032
