ID;INSEE_COM;INSEE_DEP;INSEE_REG;CODE_EPCI;NOM_COM_M;POPULATION;Nb_Ventes;PrixMoyen_M2
COMMUNE_0000000009735591;27301;27;28;200071454;GROSSOEUVRE;1215;2;1630
COMMUNE_0000000009727693;62587;62;32;246200299;MONTIGNY EN GOHELLE;10185;30;1385
COMMUNE_0000000009750747;3165;3;84;200071363;MAYET DE MONTAGNE;1384;7;972
COMMUNE_0000000009748271;39107;39;27;243900719;CHARCIER;123;NA;NA
COMMUNE_0000000009737781;54345;54;44;245400189;MANONCOURT EN VERMOIS;340;3;1718
COMMUNE_0000000009749548;1375;1;84;200071751;SAINT MARTIN LE CHATEL;790;4;1876
COMMUNE_0000000009736826;57280;57;44;245700950;GUNTZVILLER;388;NA;NA
COMMUNE_0000000009736269;67237;67;44;200041325;KILSTETT;2538;NA;NA
COMMUNE_0000000009757185;47061;47;75;200030674;CAUMONT SUR GARONNE;702;14;1124
COMMUNE_0000000009753547;42044;42;84;244200770;CHAMBON FEUGEROLLES;12486;97;1499
COMMUNE_0000000009727279;62288;62;32;200069037;ECQUES;2120;17;1639
COMMUNE_0000000009737053;78262;78;11;247800618;GALLUIS;1187;16;3823
COMMUNE_0000000009758778;34005;34;76;243400736;AGONES;257;2;2338
COMMUNE_0000000009759886;13044;13;93;200054807;GRANS;4911;23;2917
COMMUNE_0000000009735877;55412;55;44;200034874;RAMBUCOURT;192;NA;NA
COMMUNE_0000000009748372;36180;36;24;243600350;SAINT AOUT;844;6;995
COMMUNE_0000000009762361;9181;9;76;200066223;MAS D AZIL;1180;12;739
COMMUNE_0000000009749746;1125;1;84;200071751;CORVEISSIAT;625;5;1297
COMMUNE_0000000009737347;54583;54;44;200070563;VILLEY LE SEC;411;3;1183
COMMUNE_0000000009727461;62349;62;32;200072460;FOUQUEREUIL;1547;5;1561
COMMUNE_0000000009739519;67094;67;44;246700967;DIEFFENTHAL;257;NA;NA
COMMUNE_0000000009759528;32249;32;76;200034726;MAUVEZIN;2158;25;1551
COMMUNE_0000000009749148;71232;71;27;200071884;HAUTEFOND;210;NA;NA
COMMUNE_0000000009754787;33182;33;75;200023794;GAURIAC;758;11;1680
COMMUNE_0000000009727934;62815;62;32;200069029;TIGNY NOYELLE;173;2;1527
COMMUNE_0000000009739576;88073;88;44;200068757;BRANTIGNY;210;1;1676
COMMUNE_0000000009755400;33290;33;75;200035533;MONTAGNE;1542;18;1784
COMMUNE_0000000009752369;87119;87;75;200040814;PIERRE BUFFIERE;1158;20;1075
COMMUNE_0000000009727900;62260;62;32;200069672;CROIX EN TERNOIS;324;2;1062
ARR_MUNI0000000009752005;69382;69;84;;LYON 2E ARRONDISSEMENT;30435;308;5403
COMMUNE_0000000009738322;51041;51;44;200066835;BAUDEMENT;112;NA;NA
COMMUNE_0000000009747090;37078;37;24;200071587;CIRAN;417;2;1385
COMMUNE_0000000009746703;25528;25;27;200068070;SAMSON;92;NA;NA
COMMUNE_0000000009746744;21194;21;27;200070894;CORGOLOIN;896;NA;NA
COMMUNE_0000000009761406;13022;13;93;200054807;CASSIS;7162;126;6303
COMMUNE_0000000009729498;76487;76;28;247600604;OSMOY SAINT VALERY;334;2;965
COMMUNE_0000000009732798;57013;57;44;245700372;ALSTING;2573;NA;NA
COMMUNE_0000000009749820;3188;3;84;200071389;MONTORD;211;NA;NA
COMMUNE_0000000009733944;2509;2;32;200072031;MONTHIERS;161;2;1579
COMMUNE_0000000009755919;26001;26;84;242600534;SOLAURE EN DIOIS;457;3;2072
COMMUNE_0000000009729124;2278;2;32;240200600;EPARCY;31;NA;NA
COMMUNE_0000000009738473;61243;61;28;200071652;MAGNY LE DESERT;1416;6;1742
COMMUNE_0000000009744914;49015;49;52;244900015;AVRILLE;13699;206;2375
COMMUNE_0000000009759183;84038;84;93;200040442;CHEVAL BLANC;4215;1;5094
COMMUNE_0000000009739640;52149;52;44;200044253;COURCELLES SUR BLAISE;101;NA;NA
COMMUNE_0000000009729781;76427;76;28;200070068;MESNIERES EN BRAY;954;8;1543
COMMUNE_0000000009757672;12287;12;76;200069383;VAILHOURLES;637;1;1387
COMMUNE_0000000009736949;51594;51;44;200066876;VASSIMONT ET CHAPELAINE;60;NA;NA
COMMUNE_0000002200276467;2153;2;32;200043495;CESSIERES SUZY;764;3;953
COMMUNE_0000000009743504;52298;52;44;200027308;MAATZ;76;NA;NA
COMMUNE_0000000009737666;22186;22;53;200069391;PLENEUF VAL ANDRE;4069;109;2927
COMMUNE_0000000009750887;17337;17;75;241700624;SAINT GEORGES D OLERON;3700;95;3030
COMMUNE_0000000009736636;61181;61;28;200069458;GACE;1886;10;961
COMMUNE_0000000009737702;29255;29;53;242900793;SAINT MEEN;913;5;1717
COMMUNE_0000000009746422;25537;25;27;200068070;SCEY MAISIERES;295;NA;NA
COMMUNE_0000000009750637;17327;17;75;200041689;SAINT FELIX;300;2;600
COMMUNE_0000000009728541;80491;80;32;200070951;LONGUEVILLETTE;76;1;1288
COMMUNE_0000000009744084;68098;68;44;200066033;FRIESEN;641;NA;NA
COMMUNE_0000000009732862;54524;54;44;200070845;THUMEREVILLE;76;NA;NA
COMMUNE_0000000009755693;7198;7;84;200071413;ROMPON;1076;10;1822
COMMUNE_0000000009752078;63453;63;84;200067627;VERTAIZON;3190;20;1668
COMMUNE_0000000009747554;37001;37;24;200071587;ABILLY;1151;13;1127
COMMUNE_0000000009742588;45302;45;24;244500468;SARAN;16379;172;1985
COMMUNE_0000000009747902;71033;71;27;200040038;BEY;830;2;1619
COMMUNE_0000000009731893;50490;50;28;200067205;SAINT JEAN DE LA RIVIERE;347;6;2321
COMMUNE_0000000009752185;17307;17;75;241700640;SABLONCEAUX;1412;17;1435
COMMUNE_0000000009743696;35294;35;53;243500741;SAINTE MARIE;2259;43;1317
COMMUNE_0000000009748848;85200;85;52;200071900;SAINT AVAUGOURD DES LANDES;1059;23;1528
COMMUNE_0000000009763575;2A139;2A;94;200040764;LECCI;1726;18;5894
COMMUNE_0000000009763162;9239;9;76;200066363;QUERIGUT;135;5;1012
COMMUNE_0000000009739713;77210;77;11;247700107;GRANDE PAROISSE;2763;36;1979
COMMUNE_0000000009754498;19173;19;75;200066751;RILHAC XAINTRIE;304;3;1113
COMMUNE_0000000009730852;57574;57;44;245700695;BASSE RENTGEN;471;NA;NA
COMMUNE_0000000009741253;89240;89;27;248900334;MALAY LE PETIT;353;4;1082
COMMUNE_0000000009746620;37088;37;24;200043081;COUZIERS;118;1;1216
COMMUNE_0000000009760947;31576;31;76;200071298;VIEILLEVIGNE;328;2;1330
COMMUNE_0000000009732946;51479;51;44;200067213;SAINT EUPHRAISE ET CLAIRIZET;233;NA;NA
COMMUNE_0000000009746062;37193;37;24;200072981;RESTIGNE;1264;15;1381
COMMUNE_0000000009755534;46311;46;76;200066371;SOUSCEYRAC EN QUERCY;1360;5;1012
COMMUNE_0000000009757347;47006;47;75;200023307;ALLEZ ET CAZENEUVE;578;5;1696
COMMUNE_0000000009762099;11183;11;76;200071926;LADERN SUR LAUQUET;267;1;500
COMMUNE_0000000009742012;53022;53;52;245300223;BAZOUGE DE CHEMERE;514;4;949
COMMUNE_0000000009735117;27374;27;28;242700276;LOUVERSEY;544;1;1429
COMMUNE_0000000009750641;17359;17;75;200041614;SAINT MARD;1204;15;1288
COMMUNE_0000000009758898;40062;40;75;244000808;CAMPET ET LAMOLERE;401;5;1635
COMMUNE_0000000009762063;64162;64;75;200067106;CAMOU CIHIGUE;99;NA;NA
COMMUNE_0000000009747748;36222;36;24;200068880;THIZAY;233;1;1000
COMMUNE_0000000009735805;57317;57;44;245700950;HERANGE;106;NA;NA
COMMUNE_0000000009760129;34154;34;76;243400470;MAUGUIO;17073;66;3712
COMMUNE_0000000009730494;50305;50;28;200067205;MESNIL AU VAL;728;6;2065
COMMUNE_0000000009727530;59444;59;32;245901160;ODOMEZ;932;5;1318
COMMUNE_0000000009741509;88016;88;44;200068773;ATTIGNY;235;1;888
COMMUNE_0000000009753168;24221;24;75;200041572;RUDEAU LADOSSE;161;1;556
COMMUNE_0000000009749897;79185;79;75;200069755;AIGONDIGNE;4789;33;1270
COMMUNE_0000000009742507;21499;21;27;242101434;POTHIERES;210;2;1005
COMMUNE_0000000009748093;39056;39;27;200069615;BLETTERANS;1440;5;1562
COMMUNE_0000000009737877;51565;51;44;245100979;THAAS;97;NA;NA
COMMUNE_0000000009744721;70397;70;27;200041853;ORMENANS;75;NA;NA
COMMUNE_0000000009748655;85112;85;52;200071165;ILE D OLONNE;2699;36;2193
COMMUNE_0000000009728297;59425;59;32;200043321;NEUVILLE EN AVESNOIS;305;1;1699
COMMUNE_0000000009757057;26226;26;84;200040681;PEGUE;362;NA;NA
COMMUNE_0000000009730090;76193;76;28;200070068;CRIQUE;353;3;1591
COMMUNE_0000000009746848;37132;37;24;200071587;LOCHES;6283;83;1573
COMMUNE_0000000009741121;88269;88;44;200071157;LIEZEY;278;9;2417
COMMUNE_0000000009729946;2237;2;32;240200469;CRECY SUR SERRE;1496;9;944
COMMUNE_0000000009751736;1064;1;84;240100883;BRIORD;991;11;1601
COMMUNE_0000000009758585;81247;81;76;248100497;SAINT CIRGUE;208;1;824
COMMUNE_0000000009746683;25211;25;27;200068070;ECHEVANNES;89;NA;NA
COMMUNE_0000000009741823;70404;70;27;200041721;PASSAVANT LA ROCHERE;612;5;838
COMMUNE_0000000009732050;2036;2;32;240200501;AUGY;87;1;1000
COMMUNE_0000000009756626;26191;26;84;200040459;MONTBOUCHER SUR JABRON;2273;16;1964
COMMUNE_0000000009740948;28276;28;24;200070159;NEUVY EN BEAUCE;215;3;1569
COMMUNE_0000000009748813;79029;79;75;200069748;BEAULIEU SOUS PARTHENAY;675;3;675
COMMUNE_0000000009744847;45064;45;24;200068278;CERNOY EN BERRY;454;9;1052
COMMUNE_0000000009733901;51623;51;44;200067213;VILLE EN SELVE;274;2;1958
COMMUNE_0000000009749818;3204;3;84;200071389;PARAY SOUS BRIAILLES;635;1;1491
COMMUNE_0000000009738636;54229;54;44;200070324;GLONVILLE;353;3;876
COMMUNE_0000000009748662;39493;39;27;243900719;SAINT MAURICE CRILLAT;239;2;1252
COMMUNE_0000000009751391;17046;17;75;200041689;BIGNAY;413;4;1285
COMMUNE_0000000009733365;55579;55;44;245501176;WATRONVILLE;108;NA;NA
COMMUNE_0000000009759747;31293;31;76;243100518;LESPINASSE;2692;17;2524
COMMUNE_0000000009759711;81181;81;76;200034056;MONTPINIER;191;NA;NA
COMMUNE_0000000009734599;27546;27;28;200071454;SAINT GERMAIN DES ANGLES;179;NA;NA
COMMUNE_0000000009759351;40282;40;75;200069649;SAINT SEVER;4958;52;1477
COMMUNE_0000000009747489;71062;71;27;200070530;BRION;302;9;1030
COMMUNE_0000000009729471;80098;80;32;200071181;BETTEMBOS;99;1;1931
COMMUNE_0000000009750592;16001;16;75;200072049;ABZAC;474;3;841
COMMUNE_0000000009756719;46196;46;76;244600482;MONTAMEL;107;1;1828
COMMUNE_0000000009738398;78522;78;11;200073344;ROCHEFORT EN YVELINES;895;15;2847
COMMUNE_0000000009736929;51290;51;44;200067379;HEILTZ L EVEQUE;302;7;1004
COMMUNE_0000000009733419;51471;51;44;200067213;SACY;375;2;2141
COMMUNE_0000000009729620;2586;2;32;240200634;PARFONDEVAL;142;NA;NA
COMMUNE_0000000009752550;42222;42;84;244200770;SAINT GALMIER;5707;63;2116
COMMUNE_0000000009726967;59271;59;32;245900428;GRANDE SYNTHE;23294;57;1345
COMMUNE_0000000009758317;30111;30;76;200034379;FOISSAC;403;7;2508
COMMUNE_0000000009746110;44220;44;52;200067346;VUE;1648;23;2078
COMMUNE_0000000009734387;55577;55;44;200066140;WALY;61;NA;NA
COMMUNE_0000000009736792;67138;67;44;200034635;FESSENHEIM LE BAS;552;NA;NA
COMMUNE_0000000009734609;27161;27;28;242700276;CLAVILLE;1084;2;1242
COMMUNE_0000000009741576;10222;10;44;241000447;MARAYE EN OTHE;465;8;761
COMMUNE_0000000009735305;57210;57;44;200068146;FENETRANGE;718;NA;NA
COMMUNE_0000000009758325;30100;30;76;200066918;CRUVIERS LASCOURS;705;7;2033
COMMUNE_0000000009754126;24508;24;75;200040400;SAINT VICTOR;205;NA;NA
COMMUNE_0000000009751583;23156;23;75;200067593;PONTCHARRAUD;78;2;634
COMMUNE_0000000009757174;47173;47;75;244701405;MONCLAR;865;16;1094
COMMUNE_0000000009755930;26065;26;84;242600252;CHABRILLAN;706;4;2583
COMMUNE_0000000009740394;88246;88;44;200068369;HYMONT;477;9;881
COMMUNE_0000000009744180;70520;70;27;247000623;VANNE;97;NA;NA
COMMUNE_0000000009735493;77214;77;11;200055655;GRESSY;860;7;2615
COMMUNE_0000000009729626;2136;2;32;240200444;BURELLES;129;1;640
COMMUNE_0000000009749726;74305;74;84;200011773;VILLE LA GRAND;8609;18;3470
COMMUNE_0000000009753368;63279;63;84;246300966;PICHERANDE;362;8;1199
COMMUNE_0000000009732125;60700;60;32;200067999;WARLUIS;1163;15;2229
COMMUNE_0000000009735896;55570;55;44;200066140;VILLOTTE SUR AIRE;195;NA;NA
COMMUNE_0000000009728057;62590;62;32;200069672;MONTS EN TERNOIS;64;3;4187
COMMUNE_0000000009746587;36004;36;24;243600202;ANJOUIN;334;1;1051
COMMUNE_0000000009747766;37064;37;24;200071587;CHAUMUSSAY;226;3;1082
COMMUNE_0000000009746831;36170;36;24;200068880;REBOURSIN;109;NA;NA
COMMUNE_0000000009735581;27111;27;28;200071454;BRETAGNOLLES;198;2;1994
COMMUNE_0000000009752273;69100;69;84;200046977;IRIGNY;8609;86;3365
COMMUNE_0000000009749353;71460;71;27;200070308;SAINT MAURICE DE SATONNAY;495;4;1982
COMMUNE_0000000009749335;1367;1;84;200071751;SAINT JULIEN SUR REYSSOUZE;698;2;781
COMMUNE_0000000009756237;46057;46;76;200067361;CARDAILLAC;603;11;1391
COMMUNE_0000000009739635;52440;52;44;200044253;ROUVROY SUR MARNE;387;3;854
COMMUNE_0000000009754080;19092;19;75;241900133;JARDIN;83;NA;NA
COMMUNE_0000000009743274;41120;41;24;200072072;LUNAY;1270;17;1089
COMMUNE_0000000009736446;51154;51;44;200067684;CLAMANGES;207;1;765
COMMUNE_0000000009736157;61180;61;28;200069458;FRESNAY LE SAMSON;90;NA;NA
COMMUNE_0000000009740597;61394;61;28;200071504;SAINT GERMAIN DE LA COUDRE;762;7;1217
COMMUNE_0000000009733395;51646;51;44;200042703;VIRGINY;86;NA;NA
COMMUNE_0000000009735408;51166;51;44;200042703;CONTAULT;66;1;800
COMMUNE_0000000009741711;53134;53;52;200033298;LIVET;148;NA;NA
COMMUNE_0000000009761440;11025;11;76;200035715;BAGNOLES;310;1;843
COMMUNE_0000000009747853;39108;39;27;200069623;CHARENCY;56;NA;NA
COMMUNE_0000000009727487;62336;62;32;200069037;FLECHIN;485;7;1223
COMMUNE_0000000009756598;26030;26;84;242600534;BATIE DES FONDS;5;NA;NA
COMMUNE_0000000009762321;11107;11;76;200043776;COURTAULY;69;1;907
COMMUNE_0000000009742341;35125;35;53;200039022;GUERCHE DE BRETAGNE;4262;54;1187
COMMUNE_0000000009744422;25523;25;27;200065647;SAINTE MARIE;695;3;1535
COMMUNE_0000000009727561;62637;62;32;246200299;OIGNIES;9692;33;1593
COMMUNE_0000000009742376;56074;56;53;200067221;GUENIN;1739;19;1287
COMMUNE_0000000009748253;85088;85;52;200023778;FENOUILLER;4668;82;2448
COMMUNE_0000000009748042;25534;25;27;200069565;SARRAGEOIS;193;1;981
COMMUNE_0000000009730567;8163;8;44;240800862;FAISSAULT;249;NA;NA
COMMUNE_0000000009750420;74250;74;84;247400724;SAINT PIERRE EN FAUCIGNY;6389;66;3485
